jurisdiction,abbreviation,expansion
id,tppu,tindak pidana pencucian uang
id,qris,Standar Quick Response Code Indonesia
id,lps,Lembaga Penjamin Simpanan
id,apu ppt,anti pencucian uang dan pencegahan pendanaan terorisme
id,lpbbti,Lembaga Pendanaan Bersama Berbasis Teknologi Informasi
id,pinjol,pinjaman online
id,spbe,sistem pemerintahan berbasis elektronik
id,bssn,Badan Siber dan Sandi Negara
id,p2sk,pengembangan dan penguatan sektor keuangan
id,ppatk,Pusat Pelaporan dan Analisis Transaksi Keuangan
id,apmk,alat pembayaran menggunakan kartu
id,bpr,bank perekonomian rakyat
id,laku pandai,layanan keuangan tanpa kantor dalam rangka keuangan inklusif
id,fintech,teknologi finansial
id,e-kyc,electronic know your customer
id,dplk,dana pensiun lembaga keuangan
id,iknb,industri keuangan non-bank
id,rbb,rencana bisnis bank
id,aperd,agen penjual efek reksa dana
id,pip,penyelenggara infrastruktur pasar
id,pojk,Peraturan Otoritas Jasa Keuangan
id,pbi,Peraturan Bank Indonesia
id,padg,Peraturan Anggota Dewan Gubernur
id,seojk,Surat Edaran Otoritas Jasa Keuangan
id,pmk,Peraturan Menteri Keuangan
id,pste,Penyelenggara Sistem dan Transaksi Elektronik
id,itsk,Inovasi Teknologi Sektor Keuangan
id,pse,Penyelenggara Sistem Elektronik
id,ojk,Otoritas Jasa Keuangan
id,bi,Bank Indonesia
id,komdigi,Kementerian Komunikasi dan Digital
id,insiden siber,insiden teknologi informasi
id,komputasi awan,penyedia jasa teknologi informasi
id,penyedia jasa pembayaran,PJP
id,anti pencucian uang,APU PPT
id,uji tuntas nasabah,customer due diligence pengguna jasa
