jurisdiction,folded_token,restored_token,share
vn,000d,000đ,1.0000
vn,1den,1đến,1.0000
vn,ac,ác,0.9375
vn,ang,ăng,0.9659
vn,ap,áp,0.9967
vn,bam,băm,0.9068
vn,banh,bánh,0.9655
vn,bau,bầu,0.9970
vn,beday,bềdày,1.0000
vn,ben,bên,0.9661
vn,benh,bệnh,0.9984
vn,bep,bếp,1.0000
vn,bgddt,bgdđt,1.0000
vn,bico,bịcơ,1.0000
vn,bieu,biểu,0.9650
vn,bihy,bịhy,1.0000
vn,bikyluat,bịkỷluật,1.0000
vn,binghihuu,bịnghỉhưu,1.0000
vn,bithanh,bịthành,1.0000
vn,bixuly,bịxửlý,1.0000
vn,bkhdt,bkhđt,0.9375
vn,bld,blđ,1.0000
vn,bldtbxh,blđtbxh,1.0000
vn,bndp,bnđp,0.9655
vn,bocong,bộcông,1.0000
vn,boda,bộđã,1.0000
vn,bodexuat,bộđềxuất,1.0000
vn,bodoan,bộđoàn,1.0000
vn,bodoi,bộđội,1.0000
vn,bokhoa,bộkhoa,1.0000
vn,bokiem,bộkiểm,1.0000
vn,bongan,bộngân,1.0000
vn,bonghiep,bỏnghiệp,1.0000
vn,bophan,bộphận,1.0000
vn,botai,bốtại,0.9831
vn,botham,bộtham,1.0000
vn,botrinh,bộtrình,1.0000
vn,botruoc,bộtrước,1.0000
vn,botu,bộtư,1.0000
vn,btdt,btđt,1.0000
vn,bu,bù,0.9902
vn,bun,bùn,1.0000
vn,buoi,buổi,1.0000
vn,buon,buôn,1.0000
vn,buong,buồng,0.9697
vn,but,bút,1.0000
vn,buu,bưu,0.9995
vn,buyt,buýt,1.0000
vn,cac,các,0.9999
vn,cach,cách,0.9981
vn,cang,cảng,0.9420
vn,catruong,cảtrường,1.0000
vn,chanh,chánh,0.9990
vn,chao,chào,0.9797
vn,chap,chấp,0.9995
vn,chat,chất,0.9431
vn,chau,châu,0.9167
vn,che,chế,0.9529
vn,checua,chếcủa,1.0000
vn,chedobao,chếđộbáo,1.0000
vn,chedothong,chếđộthông,1.0000
vn,chenh,chênh,1.0000
vn,cheo,chéo,1.0000
vn,chep,chép,1.0000
vn,chet,chết,1.0000
vn,chidao,chỉđạo,1.0000
vn,chiec,chiếc,1.0000
vn,chiem,chiếm,0.9785
vn,chien,chiến,1.0000
vn,chiet,chiết,1.0000
vn,chim,chìm,0.9935
vn,chin,chín,1.0000
vn,chinh,chính,0.9085
vn,chitieu,chỉtiêu,1.0000
vn,chiu,chịu,1.0000
vn,chong,chống,0.9180
vn,chot,chốt,1.0000
vn,chuan,chuẩn,1.0000
vn,chuc,chức,0.9991
vn,chuky,chữký,1.0000
vn,chunghia,chủnghĩa,1.0000
vn,chuoco,chủởcơ,1.0000
vn,chuoi,chuỗi,0.9916
vn,chuong,chương,0.9933
vn,chup,chụp,1.0000
vn,chuquyen,chủquyền,1.0000
vn,chutich,chủtịch,1.0000
vn,chutruong,chủtrương,1.0000
vn,cong,công,0.9130
vn,cophan,cổphần,1.0000
vn,cothi,cờthi,1.0000
vn,cova,cốvà,1.0000
vn,cua,của,0.9930
vn,cuc,cục,0.9555
vn,cudi,cửđi,1.0000
vn,cuket,cứkết,1.0000
vn,cum,cụm,0.9991
vn,cuoi,cuối,0.9916
vn,cuop,cướp,1.0000
vn,cuthe,cụthể,1.0000
vn,cuthecua,cụthểcủa,1.0000
vn,cuu,cứu,0.9770
vn,dean,đềán,1.0000
vn,deb,đểb,1.0000
vn,decong,đềcông,1.0000
vn,dedo,đềdo,1.0000
vn,den,đến,0.9883
vn,denghi,đềnghị,1.0000
vn,denghianh,đềnghịanh,1.0000
vn,denghicap,đềnghịcấp,1.0000
vn,denghicong,đềnghịcông,1.0000
vn,denghicua,đềnghịcủa,1.0000
vn,denghidanh,đềnghịdanh,1.0000
vn,denghiduoc,đềnghịđược,1.0000
vn,denghikhen,đềnghịkhen,1.0000
vn,denghilap,đềnghịlập,1.0000
vn,denghitang,đềnghịtặng,1.0000
vn,denghithong,đềnghịthống,1.0000
vn,denghiveviec,đềnghịvềviệc,1.0000
vn,denghixet,đềnghịxét,1.0000
vn,dephoi,đểphối,1.0000
vn,detai,đềtài,1.0000
vn,detang,đểtặng,1.0000
vn,detruy,đểtruy,1.0000
vn,deu,đều,1.0000
vn,dexet,đểxét,1.0000
vn,dexuat,đềxuất,1.0000
vn,dh,đh,0.9442
vn,dia,địa,0.9861
vn,dich,dịch,0.9172
vn,diem,điểm,0.9979
vn,diep,điệp,1.0000
vn,diet,diệt,1.0000
vn,dieu,điều,0.9997
vn,dim,dìm,1.0000
vn,dinh,định,0.9833
vn,doa,dọa,0.9538
vn,doai,đoái,1.0000
vn,doat,đoạt,1.0000
vn,dochuyen,độchuyên,1.0000
vn,dola,đôla,1.0000
vn,don,đơn,0.9787
vn,dotinh,đỡtinh,1.0000
vn,dovemoi,độvềmọi,1.0000
vn,du10,đủ10,1.0000
vn,du15,đủ15,1.0000
vn,du20,đủ20,1.0000
vn,dun,đun,0.9861
vn,duoc,được,0.9988
vn,duoi,dưới,0.9908
vn,dut,dứt,0.9914
vn,dutieu,đủtiêu,1.0000
vn,duyet,duyệt,1.0000
vn,dvcnt,đvcnt,0.9928
vn,dvcntt,đvcntt,0.9868
vn,dxpa,đxpa,1.0000
vn,ep,ép,1.0000
vn,gac,gác,0.9474
vn,gach,gạch,1.0000
vn,gao,gạo,0.9091
vn,gap,gặp,0.9164
vn,gay,gây,0.9957
vn,ghep,ghép,1.0000
vn,giac,giác,1.0000
vn,giai,giải,0.9300
vn,giau,giấu,0.9329
vn,giay,giấy,0.9934
vn,gieng,giếng,0.9674
vn,giet,giết,1.0000
vn,gin,gìn,1.0000
vn,gioi,giới,0.9909
vn,giu,giữ,1.0000
vn,giua,giữa,0.9968
vn,giuc,giục,1.0000
vn,giugin,giữgìn,1.0000
vn,giup,giúp,1.0000
vn,goc,gốc,0.9278
vn,gom,gồm,0.9949
vn,gop,góp,0.9772
vn,gui,gửi,1.0000
vn,guong,gương,0.9834
vn,ha,hạ,0.9410
vn,hac,hắc,1.0000
vn,hach,hạch,0.9990
vn,han,hạn,0.9937
vn,hang,hàng,0.9194
vn,hanh,hành,0.9891
vn,hat,hạt,0.9983
vn,hau,hậu,0.9919
vn,hdnd,hđnd,1.0000
vn,he,hệ,0.9988
vn,hec,héc,1.0000
vn,hecong,hệcông,1.0000
vn,hedoi,hệđối,1.0000
vn,hehop,hệhợp,1.0000
vn,hehuu,hệhữu,1.0000
vn,hen,hẹn,0.9718
vn,hep,hẹp,1.0000
vn,heso2,hệsố2,1.0000
vn,het,hết,0.9972
vn,hethong,hệthống,1.0000
vn,hiem,hiểm,0.9681
vn,hien,hiện,0.9888
vn,hiep,hiệp,0.9815
vn,hinh,hình,0.9990
vn,hoac,hoặc,1.0000
vn,hoach,hoạch,0.9986
vn,hoai,hoại,0.9984
vn,hoan,hoàn,0.9529
vn,hoat,hoạt,0.9999
vn,hoc,học,0.9987
vn,hochi,hồchí,1.0000
vn,hogia,hộgia,1.0000
vn,hop,hợp,0.9729
vn,hoso,hồsơ,0.9988
vn,hu,hư,0.9776
vn,hue,huế,0.9250
vn,hum,hùm,1.0000
vn,hung,hùng,0.9125
vn,huu,hữu,0.9599
vn,huyen,huyện,0.9894
vn,huynh,huỳnh,0.9167
vn,ich,ích,0.9993
vn,it,ít,0.9866
vn,kan,kạn,1.0000
vn,kecaca,kểcảcá,1.0000
vn,kehoach,kếhoạch,0.9231
vn,kem,kèm,0.9698
vn,kenh,kênh,0.9854
vn,keo,kéo,0.9667
vn,ket,kết,0.9982
vn,ketruoc,kềtrước,1.0000
vn,ketungay,kểtừngày,1.0000
vn,keu,kêu,1.0000
vn,kha,khả,0.9767
vn,khach,khách,1.0000
vn,kham,khám,0.9704
vn,khanang,khảnăng,1.0000
vn,khang,kháng,0.9097
vn,khanh,khánh,1.0000
vn,khao,khảo,1.0000
vn,khep,khép,1.0000
vn,khia,khía,1.0000
vn,khich,khích,1.0000
vn,khien,khiển,0.9597
vn,khieu,khiếu,0.9978
vn,khoan,khoản,0.9732
vn,khong,không,0.9970
vn,khop,khớp,1.0000
vn,khuc,khúc,1.0000
vn,khuon,khuôn,0.9529
vn,khuyen,khuyến,0.9943
vn,khuyet,khuyết,1.0000
vn,ki,kí,0.9650
vn,kiem,kiểm,0.9610
vn,kiet,kiệt,1.0000
vn,kin,kín,1.0000
vn,kip,kịp,0.9985
vn,kykhang,kỳkháng,1.0000
vn,kyluat,kỷluật,0.9890
vn,kyniem,kỷniệm,1.0000
vn,kythuat,kỹthuật,1.0000
vn,la,là,0.9869
vn,lac,lạc,0.9949
vn,lam,làm,0.9480
vn,lanh,lãnh,0.9116
vn,lap,lập,0.9068
vn,lay,lấy,0.9894
vn,ldtbxh,lđtbxh,1.0000
vn,le,lệ,0.9507
vn,lech,lệch,1.0000
vn,len,lên,0.9953
vn,lenh,lệnh,0.9996
vn,lich,lịch,0.9952
vn,liet,liệt,1.0000
vn,lieu,liệu,0.9962
vn,linh,lĩnh,0.9385
vn,lit,lít,1.0000
vn,loai,loại,0.9683
vn,loan,loạn,0.9355
vn,loat,loạt,1.0000
vn,lon,lớn,0.9765
vn,lop,lớp,0.9934
vn,lu,lũ,0.9278
vn,luat,luật,1.0000
vn,lui,lùi,1.0000
vn,lun,lún,0.9615
vn,luoc,lược,0.9975
vn,luoi,lưới,0.9917
vn,luon,luôn,1.0000
vn,luot,lượt,1.0000
vn,lut,lụt,0.9853
vn,luu,lưu,0.9636
vn,luy,lũy,0.9231
vn,luyen,luyện,1.0000
vn,ly,lý,0.9965
vn,mach,mạch,1.0000
vn,mai,mại,0.9758
vn,mam,mầm,0.9375
vn,mang,mạng,0.9384
vn,mao,mạo,1.0000
vn,mau,mẫu,0.9273
vn,may,máy,0.9445
vn,mcdt,mcđt,1.0000
vn,me,mẹ,0.9267
vn,mem,mềm,0.9993
vn,menh,mệnh,1.0000
vn,mep,mép,1.0000
vn,met,mét,1.0000
vn,mieng,miếng,0.9697
vn,mieu,miêu,1.0000
vn,mot,một,0.9997
vn,mun,mùn,1.0000
vn,muu,mưu,0.9982
vn,my,mỹ,0.9788
vn,mytruoc,mỹtrước,1.0000
vn,nac,nặc,0.9091
vn,nai,nại,0.9740
vn,nan,nạn,0.9734
vn,nap,nạp,0.9535
vn,nat,nát,1.0000
vn,nay,này,0.9949
vn,nd,nđ,0.9993
vn,nen,nền,0.9534
vn,nenep,nềnếp,1.0000
