term,source
an toàn thông tin,vbpl
an ninh mạng,vbpl
dữ liệu cá nhân,vbpl
giao dịch điện tử,vbpl
chữ ký số,vbpl
chữ ký điện tử,vbpl
định danh điện tử,vbpl
thương mại điện tử,vbpl
trí tuệ nhân tạo,vbpl
cơ chế thử nghiệm có kiểm soát,vbpl
dữ liệu quan trọng,vbpl
dữ liệu cốt lõi,vbpl
luật căn cước,vbpl
luật dữ liệu,vbpl
luật viễn thông,vbpl
hệ thống thông tin ngân hàng,vbpl
thuê ngoài,vbpl
thanh toán không dùng tiền mặt,vbpl
ví điện tử,vbpl
ngân hàng số,vbpl
tiền điện tử,vbpl
bảo vệ dữ liệu cá nhân,vbpl
công nghệ tài chính,vbpl
tài sản số,vbpl
tài sản mã hóa,vbpl
kinh doanh liên tục,vbpl
perbankan,bpk
perbankan syariah,bpk
bank indonesia,bpk
otoritas jasa keuangan,bpk
lembaga penjamin simpanan,bpk
sektor keuangan,bpk
pasar modal,bpk
mata uang,bpk
transfer dana,bpk
sistem pembayaran,bpk
informasi dan transaksi elektronik,bpk
transaksi elektronik,bpk
sistem elektronik,bpk
pelindungan data pribadi,bpk
keamanan siber,bpk
tanda tangan elektronik,bpk
teknologi finansial,bpk
perdagangan melalui sistem elektronik,bpk
pencucian uang,bpk
telekomunikasi,bpk
kecerdasan artifisial,bpk
