term,term_class,theme
cyber security,strong,security
cybersecurity,strong,security
computer crimes,strong,security
information security,strong,security
network security,strong,security
critical information infrastructure,strong,security
personal data protection,strong,data
data protection,strong,data
personal data,strong,data
data subject,strong,data
cross-border data,strong,data
electronic commerce,strong,etransaction
electronic transaction,strong,etransaction
electronic transactions,strong,etransaction
digital signature,strong_title,etransaction
electronic signature,strong,etransaction
certification authority,strong_title,etransaction
electronic message,strong,etransaction
communications and multimedia,strong,tech
electronic money,strong,payments
e-money,strong,payments
electronic payment,strong,payments
payment system,strong,payments
payment systems,strong,payments
payment instrument,strong,payments
digital bank,strong,digitalbanking
digital banking,strong,digitalbanking
internet banking,strong,digitalbanking
mobile banking,strong,digitalbanking
online banking,strong,digitalbanking
open finance,strong,openbanking
open banking,strong,openbanking
financial services,strong,banking
islamic financial services,strong,banking
central bank of malaysia,strong,banking
money services business,strong,banking
development financial institutions,strong,banking
anti-money laundering,strong,aml
money laundering,strong,aml
terrorism financing,strong,aml
proceeds of unlawful activities,strong,aml
credit reporting,strong,data
technology risk,strong,tech
technology risk management,strong,tech
risk management in technology,strong,tech
rmit,strong,tech
technology service provider,strong,tech
information and communications technology,strong,tech
outsourcing,strong,oprisk
fintech,strong,fintech
financial technology,strong,fintech
regulatory sandbox,strong,fintech
sandbox,strong,fintech
banking business,strong,banking
unauthorised access,strong,security
payment service,strong,payments
payment services,strong,payments
open api,strong,openbanking
open application programming interface,strong,openbanking
cloud computing,strong,cloud
cloud services,strong,cloud
it outsourcing,strong,oprisk
technology outsourcing,strong,oprisk
electronic know-your-customer,strong,etransaction
e-kyc,strong,etransaction
ekyc,strong,etransaction
data breach,strong,data
bank negara,signal,banking
bnm,signal,banking
licensed bank,signal,banking
financial institution,signal,banking
islamic bank,signal,banking
takaful,signal,banking
authorised business,signal,banking
approved issuer,signal,payments
prescribed institution,signal,banking
banking and financial,signal,banking
technology,weak,tech
information technology,weak,tech
digital,weak,tech
electronic,weak,tech
data,weak,data
outsourcing,weak,oprisk
cloud,weak,cloud
operational risk,weak,oprisk
business continuity,weak,oprisk
financial technology,weak,fintech
fintech,weak,fintech
regulatory sandbox,weak,fintech
payment gateway,strong,payments
agent banking,strong,digitalbanking
e-wallet,strong,payments
disaster recovery,weak,oprisk
data centre,weak,oprisk
penetration testing,weak,security
encryption,weak,security
malware,weak,security
vulnerability,weak,security
big data,weak,tech
blockchain,weak,tech
distributed ledger,weak,tech
digital asset,weak,fintech
